fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
51131,0,0,0,0,23,5,0,1,2,0,0,0,2,1,2,2,0,0,1,0,3,4,2,3,3,1
51133,0,0,0,0,1,0,1,2,2,1,1,2,3,3,4,1,0,0,0,1,4,5,7,2,0,2
51135,0,0,0,0,0,2,6,5,4,3,1,3,3,10,9,2,1,2,3,4,4,6,4,1,3,2
51137,0,0,0,0,1,1,0,1,1,0,2,6,5,7,10,4,0,3,1,3,7,9,4,7,3,11
51139,0,0,0,1,20,3,1,1,4,3,1,1,7,7,10,0,0,3,2,0,5,12,11,4,5,9
51141,0,0,0,0,0,0,2,8,14,2,1,0,1,6,6,2,0,0,4,1,5,3,4,13,2,6
51143,0,0,0,1,0,0,1,2,6,7,5,15,9,18,12,4,5,2,3,3,13,15,17,11,16,12
51145,0,0,0,0,0,2,2,0,1,0,1,0,1,1,3,5,1,0,0,0,6,5,0,3,5,7
51147,0,0,0,2,0,1,6,3,1,1,3,1,3,4,8,2,0,0,1,3,7,5,1,2,0,5
51149,0,0,0,0,0,1,1,0,3,2,0,1,2,2,13,4,4,0,1,0,2,8,8,1,4,5
51153,0,0,0,24,80,41,27,16,20,20,14,25,53,93,69,14,20,7,8,6,22,22,21,33,14,40
51155,0,0,0,0,0,2,1,0,1,1,6,20,13,8,8,1,0,1,6,3,4,12,9,8,6,4
51157,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,2
51159,0,0,0,0,3,6,2,2,3,1,1,1,2,1,4,3,0,1,0,0,0,2,2,1,0,2
51161,0,0,0,0,7,1,1,0,5,7,18,37,12,33,33,14,7,1,1,3,4,17,12,12,13,31
51163,0,0,0,0,0,0,0,1,1,1,0,4,23,5,8,2,0,2,0,1,3,6,8,3,4,0
51165,0,0,0,1,5,4,7,3,2,5,9,13,26,18,15,2,3,4,2,3,17,21,17,12,10,10
51167,0,0,0,0,0,0,1,3,1,3,1,7,6,6,8,3,1,1,0,1,8,14,6,9,7,9
51169,0,0,0,1,1,0,1,1,0,2,8,20,10,4,3,1,7,1,1,1,8,7,8,9,1,2
